Date,Price,Open,High,Low,Vol.,Change %,Volume
2/10/2019,156.99,154.18,158.36,150.16,0.89K,1.82%,890
2/9/2019,154.18,152.77,154.35,150.26,0.24K,0.92%,240
2/8/2019,152.77,135.97,156.14,133.59,1.20K,12.36%,1200
2/7/2019,135.97,132.59,136,132.59,0.32K,2.55%,320
2/6/2019,132.59,138.28,138.28,130.63,0.72K,-4.11%,720
2/5/2019,138.28,136.87,138.66,131.45,0.33K,1.03%,330
2/4/2019,136.87,130.02,138.49,127.68,0.60K,5.27%,600
2/3/2019,130.02,138.94,138.98,130.02,0.42K,-6.42%,420
2/2/2019,138.94,137.85,138.94,133.46,0.27K,0.79%,270
2/1/2019,137.85,137.97,139.79,125.88,2.69K,-0.09%,2690
1/31/2019,137.97,140.99,143.01,136.44,0.80K,-2.14%,800
1/30/2019,140.99,137.25,143.01,135,2.28K,2.72%,2280
1/29/2019,137.25,138.68,138.94,133.1,1.16K,-1.03%,1160
1/28/2019,138.68,146.92,147.93,133.5,1.03K,-5.61%,1030
1/27/2019,146.92,153.31,153.47,146.92,0.28K,-4.17%,280
1/26/2019,153.31,153.86,155.88,151.88,0.13K,-0.36%,130
1/25/2019,153.86,156.15,156.25,151.16,0.34K,-1.47%,340
1/24/2019,156.15,155.42,157.94,152.28,0.33K,0.47%,330
1/23/2019,155.42,157.92,158,154.09,0.23K,-1.58%,230
1/22/2019,157.92,153,158.85,146.74,0.36K,3.22%,360
1/21/2019,153,155.07,155.68,150.2,0.16K,-1.33%,160
1/20/2019,155.07,162.41,164.18,153.14,0.20K,-4.52%,200
1/19/2019,162.41,157.92,166.67,157.26,0.17K,2.84%,170
1/18/2019,157.92,161.84,162.73,156.21,0.23K,-2.42%,230
1/17/2019,161.84,161.48,166.44,156.35,0.57K,0.22%,570
1/16/2019,161.48,159.56,167.05,157.25,1.03K,1.20%,1030
1/15/2019,159.56,169.6,169.99,154.5,0.55K,-5.92%,550
1/14/2019,169.6,149.12,169.98,148.12,0.50K,13.73%,500
1/13/2019,149.12,162.61,165.96,137.9,2.37K,-8.30%,2370
1/12/2019,162.61,165.78,168.64,162.61,0.06K,-1.91%,60
1/11/2019,165.78,167.41,175.31,161.16,0.64K,-0.97%,640
1/10/2019,167.41,198.18,199.66,163.09,1.07K,-15.53%,1070
1/9/2019,198.18,197.05,202.57,195,0.91K,0.57%,910
1/8/2019,197.05,199.92,204.24,195.06,0.39K,-1.44%,390
1/7/2019,199.92,208.5,211.7,199.64,0.43K,-4.12%,430
1/6/2019,208.5,206.51,215.08,197.8,0.11K,0.96%,110
1/5/2019,206.51,205.7,229,205.7,0.23K,0.39%,230
1/4/2019,205.7,198.16,209.25,196.53,0.52K,3.81%,520
1/3/2019,198.16,211.5,212.37,192.5,0.22K,-6.31%,220
1/2/2019,211.5,187.88,213.74,187.45,0.26K,12.57%,260
1/1/2019,187.88,179.4,190.71,177.36,0.27K,4.73%,270
12/31/2018,179.4,190.64,192.32,177.52,0.29K,-5.90%,290
12/30/2018,190.64,184.71,191.5,179.8,0.10K,3.21%,100
12/29/2018,184.71,190.72,197.81,181.69,0.50K,-3.15%,500
12/28/2018,190.72,158.12,192,156.38,0.76K,20.62%,760
12/27/2018,158.12,179.14,183.6,158.12,0.29K,-11.73%,290
12/26/2018,179.14,179.99,188.25,172.7,0.33K,-0.47%,330
12/25/2018,179.99,192.65,192.65,170.22,1.17K,-6.57%,1170
12/24/2018,192.65,182.77,221,182.77,1.67K,5.41%,1670
12/23/2018,182.77,160.18,183.47,160.18,0.62K,14.10%,620
12/22/2018,160.18,150.64,161.35,145.28,0.41K,6.33%,410
12/21/2018,150.64,157.67,164.43,145.59,0.88K,-4.46%,880
12/20/2018,157.67,138.63,161.09,138.44,1.15K,13.73%,1150
12/19/2018,138.63,137.52,145,135.71,3.11K,0.81%,3110
12/18/2018,137.52,126.84,139.97,123.05,0.83K,8.42%,830
12/17/2018,126.84,114.08,132.52,113.25,0.88K,11.19%,880
12/16/2018,114.08,112.47,119.41,112.47,0.65K,1.43%,650
12/15/2018,112.47,113.11,145,110.13,1.71K,-0.57%,1710
12/14/2018,113.11,117.03,145,110.79,2.19K,-3.35%,2190
12/13/2018,117.03,119.12,123.09,105.5,1.15K,-1.75%,1150
12/12/2018,119.12,117.97,123.89,117.55,1.79K,0.30%,1790
12/11/2018,118.76,123.04,124.07,117.19,0.70K,-3.48%,700
12/10/2018,123.04,125.75,127.26,119.72,0.55K,-2.16%,550
12/9/2018,125.75,124.57,133.53,123.11,0.15K,0.95%,150
12/8/2018,124.57,125.19,133.01,115.35,0.73K,-0.50%,730
12/7/2018,125.19,122.28,129.92,111.58,2.14K,2.38%,2140
12/6/2018,122.28,137.09,138.7,121.4,2.70K,-10.80%,2700
